"","위도","경도","공장규모","종업원수","중분류항목명","예상세탁량"
"132",36.3866911948,127.4046934786,"소기업",14,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"133",36.4293240161,127.3907789736,"소기업",9,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"134",36.3428929422,127.3551834178,"소기업",4,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"135",36.4220642694,127.4100134682,"소기업",5,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"136",36.368784404,127.4167520119,"소기업",5,"기타 기계 및 장비 제조업",4.33021116256714
"137",36.4322233549,127.3887827943,"소기업",3,"기타 기계 및 장비 제조업",4.33021116256714
"138",36.3646028257,127.4054797086,"소기업",8,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"139",36.2792762624,127.4756867675,"소기업",4,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"140",36.4322233549,127.3887827943,"소기업",17,"화학 물질 및 화학제품 제조업; 의약품 제외",4.33021116256714
"141",36.4283593227,127.4007560511,"소기업",27,"화학 물질 및 화학제품 제조업; 의약품 제외",11.8432559967041
"142",36.3682827819,127.3569819242,"소기업",10,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",4.33021116256714
"143",36.3587349185,127.350135618,"소기업",10,"전기장비 제조업",4.33021116256714
"144",36.4064654245,127.3734046986,"소기업",14,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"145",36.3723749819,127.4210829076,"소기업",0,"식료품 제조업",18.2538032531738
"146",36.3904977969,127.3548444395,"소기업",33,"화학 물질 및 화학제품 제조업; 의약품 제외",12.6512308120728
"147",36.3451580845,127.4134839333,"소기업",5,"화학 물질 및 화학제품 제조업; 의약품 제외",4.33021116256714
"148",36.2186498446,127.4383499955,"소기업",9,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"149",36.3600206633,127.3489825249,"소기업",5,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"150",36.367831107,127.4033725239,"소기업",2,"기타 기계 및 장비 제조업",4.33021116256714
"151",36.4252326431,127.3986848468,"소기업",15,"의료, 정밀, 광학 기기 및 시계 제조업",4.33021116256714
"152",36.3597023671,127.3155386231,"소기업",1,"기타 기계 및 장비 제조업",4.33021116256714
"153",36.4278831541,127.4280177824,"소기업",16,"고무 및 플라스틱제품 제조업",4.33021116256714
"154",36.4324105236,127.3949883997,"소기업",2,"화학 물질 및 화학제품 제조업; 의약품 제외",4.33021116256714
"155",36.367276917,127.4029094675,"소기업",1,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"156",36.2193318114,127.4399123978,"소기업",9,"섬유제품 제조업; 의복 제외",18.0353889465332
"157",36.366783585,127.4027314267,"중기업",51,"기타 기계 및 장비 제조업",44.6921691894531
"158",36.4237481762,127.4007518673,"소기업",8,"화학 물질 및 화학제품 제조업; 의약품 제외",4.33021116256714
"159",36.374782798,127.4193979018,"소기업",15,"전기장비 제조업",4.33021116256714
"160",36.4516501382,127.4063407946,"소기업",10,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"161",36.4308277255,127.4075889747,"소기업",8,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"162",36.4342194745,127.390343145,"소기업",0,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"163",36.3508838214,127.4329142272,"소기업",5,"목재 및 나무제품 제조업; 가구 제외",4.33021116256714
"164",36.373506058,127.4143770804,"소기업",4,"기타 기계 및 장비 제조업",4.33021116256714
"165",36.4372532629,127.4325885425,"소기업",13,"기타 기계 및 장비 제조업",4.33021116256714
"166",36.3237630459,127.4363835494,"소기업",7,"의료, 정밀, 광학 기기 및 시계 제조업",4.33021116256714
"167",36.369938114,127.4156048515,"소기업",2,"기타 기계 및 장비 제조업",4.33021116256714
"168",36.4393217829,127.4114824167,"소기업",8,"기타 기계 및 장비 제조업",4.33021116256714
"169",36.4205207291,127.4216913668,"소기업",30,"기타 기계 및 장비 제조업",12.6512308120728
"170",36.3715257828,127.4137655053,"소기업",14,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"171",36.277545135,127.4644645027,"소기업",3,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"172",36.4299352161,127.4084323956,"소기업",10,"전기장비 제조업",4.33021116256714
"173",36.2203167042,127.4156153075,"소기업",13,"식료품 제조업",18.2538032531738
"174",36.4475806453,127.3997866515,"소기업",8,"목재 및 나무제품 제조업; 가구 제외",4.33021116256714
"175",36.3018156794,127.3157568611,"소기업",4,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"176",36.3154853169,127.3924676026,"소기업",7,"전기장비 제조업",4.33021116256714
"177",36.4337653229,127.4351175842,"소기업",1,"코크스, 연탄 및 석유정제품 제조업",4.33021116256714
"178",36.4503270901,127.4348234449,"소기업",3,"전기장비 제조업",4.33021116256714
"179",36.4262669198,127.4265069599,"소기업",8,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"180",36.3752214669,127.428117778,"소기업",7,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"181",36.4240664028,127.4061316752,"소기업",7,"화학 물질 및 화학제품 제조업; 의약품 제외",4.33021116256714
"182",36.3725688878,127.3332924205,"소기업",6,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"183",36.2294487448,127.3171763156,"소기업",14,"펄프, 종이 및 종이제품 제조업",4.33021116256714
"184",36.3710131727,127.4142665786,"소기업",3,"화학 물질 및 화학제품 제조업; 의약품 제외",4.33021116256714
"185",36.4324105236,127.3949883997,"소기업",4,"화학 물질 및 화학제품 제조업; 의약품 제외",4.33021116256714
"186",36.4332288529,127.3914362282,"소기업",7,"기타 기계 및 장비 제조업",4.33021116256714
"187",36.3602454695,127.3467044791,"소기업",3,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"188",36.4395903921,127.4001438268,"소기업",9,"식료품 제조업",18.2538032531738
"189",36.3970758278,127.3740871211,"중기업",119,"의료, 정밀, 광학 기기 및 시계 제조업",47.1060485839844
"190",36.4246039235,127.4043861189,"소기업",57,"의료, 정밀, 광학 기기 및 시계 제조업",41.4757118225098
"191",36.3653865614,127.4051915075,"소기업",13,"기타 기계 및 장비 제조업",4.33021116256714
"192",36.4288646546,127.4237354034,"소기업",6,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"193",36.4196162943,127.4086098317,"소기업",29,"화학 물질 및 화학제품 제조업; 의약품 제외",11.8432559967041
"194",36.4286216109,127.4283570503,"소기업",38,"화학 물질 및 화학제품 제조업; 의약품 제외",12.6512308120728
"195",36.4400307256,127.398762428,"소기업",17,"식료품 제조업",18.2538032531738
"196",36.3980458891,127.3871935764,"중기업",126,"기타 운송장비 제조업",54.5301132202148
"197",36.4437913776,127.4075096522,"중기업",50,"가죽, 가방 및 신발 제조업",44.6921691894531
"198",36.2696822591,127.4706092399,"소기업",5,"기타 기계 및 장비 제조업",4.33021116256714
"199",36.3710131727,127.4142665786,"소기업",13,"가구 제조업",4.33021116256714
"200",36.4299352161,127.4084323956,"소기업",6,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"201",36.4488023342,127.4209448954,"소기업",5,"기타 기계 및 장비 제조업",4.33021116256714
"202",36.4379667582,127.3968266629,"소기업",20,"의료, 정밀, 광학 기기 및 시계 제조업",8.12892055511475
"203",36.4289075556,127.3899622649,"소기업",9,"자동차 및 트레일러 제조업",7.31134748458862
"204",36.3730203057,127.3342850121,"소기업",11,"자동차 및 트레일러 제조업",7.31134748458862
"205",36.4286216109,127.4283570503,"소기업",14,"화학 물질 및 화학제품 제조업; 의약품 제외",4.33021116256714
"206",36.3939518101,127.4034167104,"소기업",5,"화학 물질 및 화학제품 제조업; 의약품 제외",4.33021116256714
"207",36.3406297813,127.3547097599,"소기업",16,"섬유제품 제조업; 의복 제외",18.0353889465332
"208",36.4390385761,127.4352345723,"소기업",4,"인쇄 및 기록매체 복제업",4.33021116256714
"209",36.4387416432,127.3958837214,"소기업",7,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"210",36.3539859001,127.4062044998,"소기업",5,"의료, 정밀, 광학 기기 및 시계 제조업",4.33021116256714
"211",36.4396294103,127.3948124034,"소기업",47,"고무 및 플라스틱제품 제조업",43.1166076660156
"212",36.3517077656,127.4110701006,"소기업",1,"기타 운송장비 제조업",11.7542724609375
"213",36.374338908,127.4099399307,"소기업",6,"화학 물질 및 화학제품 제조업; 의약품 제외",4.33021116256714
"214",36.4500278436,127.4040393985,"소기업",12,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"215",36.4404931673,127.4101567964,"소기업",3,"1차 금속 제조업",4.33021116256714
"216",36.4272972175,127.3925625071,"소기업",10,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"217",36.3679055816,127.4156915411,"소기업",15,"식료품 제조업",18.2538032531738
"218",36.3416551454,127.3897463669,"소기업",3,"고무 및 플라스틱제품 제조업",4.33021116256714
"219",36.3027661699,127.3685313585,"소기업",15,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"220",36.363500828,127.3373062908,"소기업",13,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"221",36.3511670697,127.4103072563,"소기업",2,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"222",36.3914118812,127.4054622889,"소기업",21,"의료, 정밀, 광학 기기 및 시계 제조업",12.1433534622192
"223",36.4369401446,127.4068695772,"소기업",26,"의료, 정밀, 광학 기기 및 시계 제조업",11.8432559967041
"224",36.4407195666,127.4211232956,"소기업",3,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"225",36.4182157935,127.4086631511,"소기업",18,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"226",36.4442442062,127.4009910924,"소기업",24,"1차 금속 제조업",11.8432559967041
"227",36.3646028257,127.4054797086,"소기업",3,"의료, 정밀, 광학 기기 및 시계 제조업",4.33021116256714
"228",36.4224552131,127.4075335048,"소기업",30,"자동차 및 트레일러 제조업",15.6323680877686
"229",36.370943463,127.4156299225,"소기업",6,"기타 기계 및 장비 제조업",4.33021116256714
"230",36.4348081134,127.3917738233,"소기업",14,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"231",36.4289075556,127.3899622649,"소기업",13,"부동산업",4.33021116256714
"232",36.435330066,127.3912242873,"소기업",9,"기타 기계 및 장비 제조업",4.33021116256714
"233",36.4240664028,127.4061316752,"소기업",25,"의료, 정밀, 광학 기기 및 시계 제조업",11.8432559967041
"234",36.3338114859,127.4282216563,"소기업",16,"인쇄 및 기록매체 복제업",4.33021116256714
"235",36.3341050272,127.4274585266,"소기업",5,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"236",36.4206087314,127.4086140276,"소기업",8,"기타 기계 및 장비 제조업",4.33021116256714
"237",36.4336063737,127.3890025878,"소기업",36,"기타 기계 및 장비 제조업",12.6512308120728
"238",36.3719425911,127.4097602062,"중기업",35,"화학 물질 및 화학제품 제조업; 의약품 제외",18.2815647125244
"239",36.3620975891,127.4452649522,"소기업",11,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"240",36.4227054965,127.4030376371,"소기업",18,"화학 물질 및 화학제품 제조업; 의약품 제외",4.33021116256714
"241",36.3699960101,127.4020301421,"소기업",42,"자동차 및 트레일러 제조업",42.5975685119629
"242",36.3693106291,127.4179554807,"소기업",18,"자동차 및 트레일러 제조업",7.31134748458862
